"site","url","nonobs","short_url"
"focus.ua","https://focus.ua/world/399414/","Ненадійне джерело інформації","http://bit.ly/2yIhU1O"
"fakty.ictv.ua","https://fakty.ictv.ua/ua/ukraine/20180608-oos-chy-vplyne-chempionat-svitu-z-futbolu-na-vijnu-na-donbasi/","Недостовірна новина","http://bit.ly/2yIhUik"
"znaj.ua","http://znaj.ua/politics/kyyiv-bez-vody-i-svitla-kobolyev-provernuv-aferu-roku","Недостовірна новина","http://bit.ly/2yIhYP6"
"hronika.info","http://hronika.info/fotoreportazhi/324109-vtorye-polovinki-zhenschin-pereborschivshih-s-plastikoy.html","Недостовірна новина","http://bit.ly/2yKnvol"
"24tv.ua","http://24tv.ua/otrimav_svoye_psevdo_kiborg_vimanyuvav_groshi_u_dovirlivih_kiyan_ale_natrapiv_ne_na_tih_n980878","Ненадійне джерело інформації","http://bit.ly/2yLQ84a"
"expres.ua","http://expres.ua/news/2018/06/08/297490-eks-regional-murayev-nazvav-olega-sencova-terorystom-reakciya-socmerezh","Ненадійне джерело інформації","http://bit.ly/2yMEs1s"
"expres.ua","http://expres.ua/news/2018/06/08/297492-spekulyanty-ne-zmogly-rozgoydaty-valyutnyy-rynok","Ненадійне джерело інформації","http://bit.ly/2yIhXL2"
"from-ua.com","http://from-ua.com/news/447402-v-krimu-zametili-strannoe-avto-iz-ukraini-foto.html","Ненадійне джерело інформації","http://bit.ly/2yJW9P7"
"ukranews.com","http://ukranews.com/news/567770-muraev-utverzhaet-chto-v-ego-slovakh-net-lychnogo-otnoshenyya-k-sencovu","Ненадійне джерело інформації","http://bit.ly/2yIi3lS"
"bagnet.org","http://www.bagnet.org/news/society/367494/instagram-serial-nonedruzi-saakashvili-pokusal-sobaku","Ненадійне джерело інформації","http://bit.ly/2yIi2yk"
"hvylya.net","http://hvylya.net/news/digest/vlasti-kanadyi-protiv-prisoedineniya-rossii-k-g7.html","Ненадійне джерело інформації","http://bit.ly/2yIi5du"
"apostrophe.ua","https://apostrophe.ua/news/society/accidents/2018-06-08/priehali-russkie-spetsialistyi-v-seti-pokazali-kureznoe-foto-s-vokzala-v-kryimu/132555","Ненадійне джерело інформації","http://bit.ly/2yIijkQ"
"politeka.net","https://politeka.net/news/society/665147-pust-pereseljajut-donbass-i-krym-izvestnye-ukrainki-obratilis-k-putinu/","Ненадійне джерело інформації","http://bit.ly/2yIijRS"
"strana.ua","http://strana.ua/news/145569-sud-ne-vernul-iz-pod-aresta-dva-avtomobilja-vyshinskoho.html","Недостовірна новина","http://bit.ly/2yIi7lC"
"bagnet.org","http://www.bagnet.org/news/politics/367506/protiv-rabinovicha-vedetsya-kampaniya-s-popytkami-podklyuchit-pravoohraniteley-dokumenty","Ненадійне джерело інформації","http://bit.ly/2yIifl6"
"podrobnosti.ua","http://podrobnosti.ua/2245181-poltsejskij-z-chernvtsv-krishuvav-kradv.html","Недостовірна новина","http://bit.ly/2yIifBC"
"facenews.ua","http://facenews.ua/news/2018/409537/","Недостовірна новина","http://bit.ly/2yIXohs"
"obozrevatel.com","https://www.obozrevatel.com/economics/vse-nuzhno-uproschat-kolesnikov-ozvuchil-retsept-razvitiya-ekonomiki-v-ukraine.htm","Ненадійне джерело інформації","http://bit.ly/2yJASF9"
"apostrophe.ua","https://apostrophe.ua/news/society/accidents/2018-06-08/gromkiy-skandal-vokrug-vzyatok-geroya-ukrainyi-sotsseti-vzbudorajili-novyie-podrobnosti/132562","Ненадійне джерело інформації","http://bit.ly/2yIaThs"
